Chain,Type,Scheme,Gas used,Gas cost (USD),DA cost (USD),Total (USD)
Ethereum L1,L1,Groth16,263000,18.41,0.0,18.41
Ethereum L1,L1,PLONK,380000,26.6,0.0,26.6
Ethereum L1,L1,Halo2,600000,42.0,0.0,42.0
Ethereum L1,L1,Bulletproofs,1410000,98.7,0.0,98.7
Ethereum L1,L1,zk-STARK,2256000,157.92,0.0,157.92
Polygon PoS,L1,Groth16,263000,0.006312,0.0,0.006312
Polygon PoS,L1,PLONK,380000,0.00912,0.0,0.00912
Polygon PoS,L1,Halo2,600000,0.0144,0.0,0.0144
Polygon PoS,L1,Bulletproofs,1410000,0.03384,0.0,0.03384
Polygon PoS,L1,zk-STARK,2256000,0.054144,0.0,0.054144
BNB Chain,L1,Groth16,263000,0.51285,0.0,0.51285
BNB Chain,L1,PLONK,380000,0.741,0.0,0.741
BNB Chain,L1,Halo2,600000,1.17,0.0,1.17
BNB Chain,L1,Bulletproofs,1410000,2.7495,0.0,2.7495
BNB Chain,L1,zk-STARK,2256000,4.3992,0.0,4.3992
Avalanche C,L1,Groth16,263000,0.230125,0.0,0.230125
Avalanche C,L1,PLONK,380000,0.3325,0.0,0.3325
Avalanche C,L1,Halo2,600000,0.525,0.0,0.525
Avalanche C,L1,Bulletproofs,1410000,1.23375,0.0,1.23375
Avalanche C,L1,zk-STARK,2256000,1.974,0.0,1.974
Arbitrum One,L2-OR,Groth16,263000,0.09205,0.00288,0.09493
Arbitrum One,L2-OR,PLONK,380000,0.133,0.0072,0.1402
Arbitrum One,L2-OR,Halo2,600000,0.21,0.0225,0.2325
Arbitrum One,L2-OR,Bulletproofs,1410000,0.4935,0.02376,0.51726
Arbitrum One,L2-OR,zk-STARK,2256000,0.7896,1.271205,2.060805
Optimism,L2-OR,Groth16,263000,0.046025,0.00288,0.048905
Optimism,L2-OR,PLONK,380000,0.0665,0.0072,0.0737
Optimism,L2-OR,Halo2,600000,0.105,0.0225,0.1275
Optimism,L2-OR,Bulletproofs,1410000,0.24675,0.02376,0.27051
Optimism,L2-OR,zk-STARK,2256000,0.3948,1.271205,1.666005
Base,L2-OR,Groth16,263000,0.03682,0.00192,0.03874
Base,L2-OR,PLONK,380000,0.0532,0.0048,0.058
Base,L2-OR,Halo2,600000,0.084,0.015,0.099
Base,L2-OR,Bulletproofs,1410000,0.1974,0.01584,0.21324
Base,L2-OR,zk-STARK,2256000,0.31584,0.84747,1.16331
zkSync Era,L2-ZK,Groth16,394500,0.345188,0.00192,0.347108
zkSync Era,L2-ZK,PLONK,570000,0.49875,0.0048,0.50355
zkSync Era,L2-ZK,Halo2,900000,0.7875,0.015,0.8025
zkSync Era,L2-ZK,Bulletproofs,2115000,1.850625,0.01584,1.866465
zkSync Era,L2-ZK,zk-STARK,3384000,2.961,0.84747,3.80847
Polygon zkEVM,L2-ZK,Groth16,263000,0.46025,0.00192,0.46217
Polygon zkEVM,L2-ZK,PLONK,380000,0.665,0.0048,0.6698
Polygon zkEVM,L2-ZK,Halo2,600000,1.05,0.015,1.065
Polygon zkEVM,L2-ZK,Bulletproofs,1410000,2.4675,0.01584,2.48334
Polygon zkEVM,L2-ZK,zk-STARK,2256000,3.948,0.84747,4.79547
